id	title	alias	url	adresse	adresse2	City	State	codepostal	Country	tel	glng	glat	metadesc
1	Rust Check Dealer - Ajax Ontario Canada 334 Westney Road South.Unit 2	rust-check-center	https://www.rustcheck.ca/rustcheck-dealers/1-rust-check-center.html	334 Westney Road South.Unit 2		Ajax	Ontario	L1S 6M7	Canada	905.428.1772	-79.035705	43.8386401	"Protect your car with Rust Check Center - Ajax in Ajax, Ontario. Trusted Rust Check specialists keeping vehicles safe from corrosion."
2	Rust Check Dealer Amherst Nova Scotia Canada 58 South Albion Street	amherst-toyota-rust-check	https://www.rustcheck.ca/rustcheck-dealers/2-amherst-toyota-rust-check.html	58 South Albion Street		Amherst	Nova Scotia	B4H 2W5	Canada	902.667.8348	-64.206391	45.8217547	"Amherst Toyota/ Rust Check  in Amherst, Nova Scotia offers expert Rust Check treatments to extend your vehicle         s life and pre"
3	Rust Check Dealer Amos Quebec canada	aldoguay-inc-rust-check	https://www.rustcheck.ca/rustcheck-dealers/3-aldoguay-inc-rust-check.html	861 Route 111 Ouest C.P. 822		Amos	Quebec	J9T 3X4	Canada	819.732.4787	-78.130535	48.5604675	"Looking for rust prevention in Amos, Quebec? Aldoguay Inc./Rust Check provides reliable Rust Check services trusted by Canadian drivers."
4	Rust Check Dealer Antigonish Nova Scotia Canada	straight-way-kia-rust-check	https://www.rustcheck.ca/rustcheck-dealers/4-straight-way-kia-rust-check.html	"2670 Brierly Brook Road, Exit 31A Hwy 104"		Antigonish	Nova Scotia	B2G 2K9	Canada	902.863.9229	-62.081932	45.6633375	"Looking for rust prevention in Antigonish, Nova Scotia? Straight-Way Kia/Rust Check provides reliable Rust Check services trusted by Canadian drivers."
6	Rust Check Dealer Baddeck Nova Scotia Canada	shore-road-esso	https://www.rustcheck.ca/rustcheck-dealers/6-shore-road-esso.html	"Shore Road, P.O. Box 250"		Baddeck	Nova Scotia	B0E 1B0	Canada	902-295-3005	-60.764088	46.0924463	"Visit Shore Road Esso, your go-to Rust Check provider in Baddeck, Nova Scotia. Keep your vehicle looking new with professional rust protection."
7	Rust Check Dealer Balmoral New Brunswick Canada	conrad-mcintyre-garage	https://www.rustcheck.ca/rustcheck-dealers/7-conrad-mcintyre-garage.html	495 Pioneer Avenue		Balmoral	New Brunswick	E8E1B2	Canada	506.826.2633	-66.395806	47.9906182	"Protect your car with Conrad McIntyre Garage in Balmoral, New Brunswick. Trusted Rust Check specialists keeping vehicles safe from corrosion."
10	"Rust Check Dealer           Barrie Ontario Canad"	ddf-automotive-rust-check	https://www.rustcheck.ca/rustcheck-dealers/10-ddf-automotive-rust-check.html	"546 Bryne Drive,Unit F"		Barrie	Ontario	L4N 9P6	Canada	705.726.8468	-79.689171	44.3287396	"Protect your car with Tint Master/Rust Check in Barrie, Ontario. Trusted Rust Check specialists keeping vehicles safe from corrosion."
11	Rust Check Dealer           Bathu	curt-s-auto-repair-rust-check	https://www.rustcheck.ca/rustcheck-dealers/11-curt-s-auto-repair-rust-check.html	2525 St.Peter Ave.		Bathurst	New Brunswick	E2A 4A7	Canada	506.545.7978	-65.684713	47.6635644	"Protect your car with Curt's Auto Repair/Rust Check in Bathurst, New Brunswick. Trusted Rust Check specialists keeping vehicles safe from corrosion."
12	Rust Check Dealer           Bay Rob	brookside-service-station-ltd-rust-check	https://www.rustcheck.ca/rustcheck-dealers/12-brookside-service-station-ltd-rust-check.html	"Conception Bay Highway, PO Box 165"		Bay Roberts	Newfoundland	A0A 1G0	Canada	(709) 786-2092	-53.279747	47.5802182	"Brookside Service Station Ltd./Rust Check in Bay Roberts, Newfoundland offers expert Rust Check treatments to extend your vehicle         s life and pre"
13	Rust Check Dealer           B	carline-auto-rust-check	https://www.rustcheck.ca/rustcheck-dealers/13-carline-auto-rust-check.html	4468 Ontario Street		Beamsville	Ontario	L0R 1B5	Canada	905.563.4333	-79.476816	43.1741083	"Visit Carline Auto/Rust Check, your go-to Rust Check provider in Beamsville, Ontario. Keep your vehicle looking new with professional rust protection."
14	Rust Check Dealer           Belleville Ontario 	rust-check-center-14	https://www.rustcheck.ca/rustcheck-dealers/14-rust-check-center-14.html	10 Cannifton Road		Belleville	Ontario	K8N 4T7	Canada	613.966.2330	-77.380108	44.1742143	"Choose Rust Check Center - Belleville in Belleville, Ontario for advanced Rust Check care. Protect your vehicle investment against rust year-round."
15	Rust Check Dealer           Blake	c-russell-sons-ltd-rust-check	https://www.rustcheck.ca/rustcheck-dealers/15-c-russell-sons-ltd-rust-check.html	Main Highway		Blaketown	Newfoundland	A0B 1C0	Canada	709.759.2440	-53.553941	47.4996171	"Protect your car with C. Russell & Sons Ltd./Rust Check in Blaketown, Newfoundland. Trusted Rust Check specialists keeping vehicles safe from corrosion."
16	Rust Check Dealer          	rust-check-center-16	https://www.rustcheck.ca/rustcheck-dealers/16-rust-check-center-16.html	7848 Castlederg Sideroad		Bolton	Ontario	L7E 5S1	Canada	905.857.5262	-79.73066	43.8741995	"Visit Rust Check Center - Bolton, your go-to Rust Check provider in Bolton, Ontario. Keep your vehicle looking new with professional rust protection."
17	Rust Check Dealer           Bowmanville Ontario	canadian-tire-17	https://www.rustcheck.ca/rustcheck-dealers/17-canadian-tire-17.html	2000 Green Rd.		Bowmanville	Ontario	L1C 0k5	Canada	905.623.5000	-78.712083	43.9093026	"Looking for rust prevention in Bowmanville, Ontario? Canadian Tire provides reliable Rust Check services trusted by Canadian drivers."
18	Rust Check Dealer           Bowmanville Ontario Can	bowmanville-rust-check-center	https://www.rustcheck.ca/rustcheck-dealers/18-bowmanville-rust-check-center.html	161 Baseline Road 		Bowmanville	Ontario	L1C 3L4	Canada	905.623.3353	-78.680476	43.9000892	"Visit Bowmanville Rust Check Center, your go-to Rust Check provider in Bowmanville, Ontario. Keep your vehicle looking new with professional rust protection."
19	Rust Check Dealer           Br	bracebridge-collision-centre-rust-check	https://www.rustcheck.ca/rustcheck-dealers/19-bracebridge-collision-centre-rust-check.html	59 Keith Road		Bracebridge	Ontario	P1L0A1	Canada	705.645.7232	-79.309982	45.0192071	"Choose Bracebridge Collision Centre/Rust Check in Bracebridge, Ontario for advanced Rust Check care. Protect your vehicle investment against rust year-round."
